itemid,shopid,name,myJSON_Id,image,currency,stock,status,ctime,sold,historical_sold,liked,liked_count,view_count,catid,brand,cmt_count,flag,cb_option,item_status,price,price_min,price_max,price_min_before_discount,price_max_before_discount,hidden_price_display,price_before_discount,has_lowest_price_guarantee,show_discount,raw_discount,discount,is_category_failed,size_chart,item_type,reference_item_id,transparent_background_image,is_adult,badge_icon_type,shopee_verified,is_official_shop,show_official_shop_label,show_shopee_verified_label,show_official_shop_label_in_title,is_cc_installment_payment_eligible,is_non_cc_installment_payment_eligible,coin_earn_label,show_free_shipping,preview_info,coin_info,exclusive_price_info,bundle_deal_id,can_use_bundle_deal,bundle_deal_info,is_group_buy_item,has_group_buy_stock,group_buy_info,welcome_package_type,welcome_package_info,can_use_wholesale,is_preferred_plus_seller,shop_location,has_model_with_available_shopee_stock,is_on_flash_sale,spl_installment_tenure,is_live_streaming_price,shop_name,shop_rating,is_mart,pack_size,overlay_image,autogen_title,autogen_title_id,overlay_id,is_service_by_shopee,flash_sale_stock,flash_sale_design_style,flash_sale_label_content,flash_sale_sold_percentage,info,data_type,key,count,adsid,campaignid,deduction_info,video_display_control,deep_discount_skin,relationship_label,live_stream_session,new_user_label,wp_eligibility,platform_voucher,rcmd_reason,highlight_video,can_use_cod,pub_id,pub_context_id,friend_relationship_label,showing_rs_label,showing_friend_rs_label,show_flash_sale_label,search_id,ext_info,product_banners,top_product_label,fashion_item,image_search,record_Id
3060128219,225359055,Inno3d NVIDIA® GeForce® GTX 1650 Twin X2 OC 4GB Graphic Card,10,eb2620d42a60d9bbfcdc911211d0c2b6,PHP,33,1,1623202623,31,77,false,219,,100644,,37,0,0,normal,955000000,955000000,955000000,1451900000,1451900000,,1451900000,true,34,34,34%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,3060128219:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
13509248512,225359055,Gigabyte GeForce® GTX 1650 D6 4GB Graphic Card,11,sg-11134201-22100-ue59fzjokbiv87,PHP,5,1,1631588381,0,4,false,88,,100644,,2,0,0,normal,1199000000,1199000000,1199000000,1499000000,1499000000,,1499000000,false,20,20,20%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,13509248512:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
12725262020,225359055,Inno3d NVIDIA® GeForce RTX® 3060 Twin X2 OC 12GB GDDR6 Graphic Card,12,sg-11134201-22100-dy9k328839hva0,PHP,2,1,1633788254,0,4,false,122,,100644,,2,0,0,normal,2385000000,2385000000,2385000000,3999000000,3999000000,,3999000000,false,40,40,40%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,12725262020:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
12142048127,225359055,Asus TUF Gaming NVIDIA® GeForce RTX™ 3070 OC V2 8GB GDDR6 Graphic Card,13,d358c97f78b66d0bcdc08726488719ab,PHP,1,1,1635907177,0,2,false,8,,100644,,2,0,0,normal,4449000000,4449000000,4449000000,5799500000,5799500000,,5799500000,false,23,23,23%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,12142048127:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
8247016963,225359055,ACER LK-8103A Predator Gaming Chair P/N:ZC.A01SP.020,14,2f4514586ad47446bb125344a8adedc3,PHP,1,1,1619166883,0,3,false,18,,100636,Acer,1,0,0,normal,3500000000,3500000000,3500000000,-1,-1,,0,false,0,0,,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,8247016963:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
12657117499,225359055,Asus TUF Gaming F15 FX506HEB-HN236T NVIDIA® GeForce RTX® 3050 Ti 4GB with Intel Core i7-11800H,15,588c841e3fffc8a0101f66b749b7da8b,PHP,1,1,1638510027,0,0,false,29,,100644,,0,0,0,normal,6779000000,6779000000,6779000000,7499500000,7499500000,,7499500000,false,10,10,10%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,12657117499:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
11676670339,225359055,HP Omen 16-B0143TX NVIDIA® GeForce® RTX 3060 6GB with Intel Core i5-11400H Gaming Laptop,16,8e68f5b47aab4fdd209b01ffae562829,PHP,1,1,1639018356,0,0,false,25,,100644,,0,0,0,normal,7300000000,7300000000,7300000000,7999000000,7999000000,,7999000000,false,9,9,9%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,11676670339:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
12231557218,225359055,MSI GF66 KATANA 11UC-827PH NVIDIA® GeForce RTX® 3050 4GBB with Intel i7-11800H Gaming Laptop,17,sg-11134201-22100-x0exnmly69hv79,PHP,1,1,1634627546,0,1,false,57,,100644,,0,0,0,normal,6399000000,6399000000,6399000000,6999000000,6999000000,,6999000000,false,9,9,9%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,12231557218:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
8114297796,225359055,Zotac Gaming NVIDIA® GeForce® RTX™ 3060 Ti Twin Edge 8gb with LHR Graphic Card,18,da6b0d5d98959473807f460f7eeb4f90,PHP,8,1,1612770824,0,1,false,10,,100644,Zotac,0,0,0,normal,2599900000,2599900000,2599900000,3859500000,3859500000,,3859500000,false,33,33,33%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,8114297796:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
15046887254,225359055,Asus ROG STRIX G15 G513QE-HN157T NVIDIA® GeForce RTX™ 3050 Ti 4GB with AMD Ryzen 9 5900HX,19,sg-11134201-22100-wlweifmpurivcd,PHP,1,1,1643183824,0,0,false,150,,100644,,0,0,0,normal,7659000000,7659000000,7659000000,8499500000,8499500000,,8499500000,false,10,10,10%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,15046887254:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
